"task"	"ID"	"mean"	"sd"
"34"	"baseline"	"041"	0.451428571428571	0.0206002365981355
"35"	"baseline"	"042"	0.5936	0.12681613987712
"36"	"baseline"	"043"	0.505483870967742	0.141039916564481
"37"	"baseline"	"044"	0.7075	0.0981769304746244
"38"	"baseline"	"045"	0.609166666666666	0.140659162517058
"39"	"baseline"	"046"	0.538750000000001	0.054402917379078
"40"	"baseline"	"047"	0.316969696969697	0.0175863669650754
"41"	"baseline"	"048"	0.335217391304348	0.0328729738701444
"42"	"baseline"	"049"	0.510322580645161	0.0414313786855435
"43"	"baseline"	"050"	0.55	0.0382244831372658
"44"	"baseline"	"051"	0.451578947368421	0.226721955157001
"45"	"baseline"	"052"	0.7445	0.124939985593084
"46"	"baseline"	"053"	0.465294117647058	0.0504666282845413
"47"	"baseline"	"054"	0.5153125	0.0830850467894193
"48"	"baseline"	"055"	0.593448275862069	0.136205618251782
"49"	"baseline"	"056"	0.491333333333333	0.0296802887490983
"50"	"baseline"	"057"	0.616285714285715	0.0573475326042745
"51"	"baseline"	"058"	0.435454545454545	0.0385754867994971
"52"	"baseline"	"059"	0.457096774193548	0.0476930147496883
"53"	"baseline"	"060"	0.510357142857143	0.054669521799231
"54"	"baseline"	"061"	0.687878787878788	0.0358606308991476
"55"	"baseline"	"062"	0.583928571428572	0.0841664702182212
"56"	"baseline"	"063"	0.5346875	0.087804194734097
"57"	"baseline"	"064"	0.438823529411765	0.0547038697807018
"58"	"OSPAN"	"006"	0.463190184049082	0.0281903915307555
"59"	"OSPAN"	"007"	0.581507936507937	0.223932373578515
"60"	"OSPAN"	"008"	0.593595505617978	0.138357983163637
"61"	"OSPAN"	"009"	0.632127659574469	0.153380918190516
"62"	"OSPAN"	"010"	0.418333333333334	0.22150111759998
"63"	"OSPAN"	"011"	0.546526315789472	0.11926876872731
"64"	"OSPAN"	"012"	0.677482993197279	0.0988900284279763
"65"	"OSPAN"	"013"	0.588158844765343	0.0790056182837653
"66"	"OSPAN"	"014"	0.512158273381296	0.144421698307159
"67"	"OSPAN"	"015"	0.596355932203389	0.15338162703374
"68"	"OSPAN"	"018"	0.636163522012579	0.101886004443402
"69"	"OSPAN"	"019"	0.523932584269663	0.0955403068432474
"70"	"OSPAN"	"020"	0.571642512077296	0.105927286515846
"71"	"OSPAN"	"021"	0.523749999999999	0.117791899950673
"72"	"OSPAN"	"022"	0.541811594202899	0.132578226500301
"73"	"OSPAN"	"023"	0.664466666666667	0.0948933464663329
"74"	"OSPAN"	"024"	0.535056818181818	0.0375993489167156
"75"	"OSPAN"	"025"	0.558888888888891	0.0800972928630387
"76"	"OSPAN"	"026"	0.541412429378531	0.162776807816146
"77"	"OSPAN"	"027"	0.509754098360656	0.115864708352329
"78"	"OSPAN"	"028"	0.436263736263736	0.0665607216782507
"79"	"OSPAN"	"029"	0.573564356435645	0.110811408784618
"80"	"OSPAN"	"030"	0.453812499999998	0.22267067335773
"81"	"OSPAN"	"031"	0.572715231788078	0.0736472110794397
"82"	"OSPAN"	"032"	0.543389830508474	0.0976683083161219
"83"	"OSPAN"	"033"	0.577432432432434	0.0605189044186139
"84"	"OSPAN"	"034"	0.627555555555557	0.145542851414979
"85"	"OSPAN"	"035"	0.375035460992908	0.177770414192315
"86"	"OSPAN"	"036"	0.606580645161291	0.0814035857858963
"87"	"OSPAN"	"037"	0.503529411764705	0.07265334835624
"88"	"OSPAN"	"038"	0.690333333333335	0.0928876634560726
"89"	"OSPAN"	"039"	0.548757396449705	0.0749459747185584
"90"	"OSPAN"	"040"	0.551546961325967	0.14868248889699
"91"	"OSPAN"	"041"	0.475364238410596	0.0549760533861421
"92"	"OSPAN"	"042"	0.597107438016529	0.124515313760525
"93"	"OSPAN"	"043"	0.481764705882354	0.10699551025948
"94"	"OSPAN"	"044"	0.659454545454546	0.131419336966076
"95"	"OSPAN"	"045"	0.550361445783134	0.15740660171079
"96"	"OSPAN"	"046"	0.521458333333333	0.108279415486886
"97"	"OSPAN"	"047"	0.332705882352941	0.0259899040614262
"98"	"OSPAN"	"048"	0.341842105263159	0.0589849817341296
"99"	"OSPAN"	"049"	0.474411764705883	0.0936404843270838
"100"	"OSPAN"	"050"	0.587900763358778	0.0696280600240304
"101"	"OSPAN"	"051"	0.490000000000001	0.174537813312364
"102"	"OSPAN"	"052"	0.651249999999999	0.149079987816258
"103"	"OSPAN"	"053"	0.4693984962406	0.0567525116050288
"104"	"OSPAN"	"054"	0.523809523809523	0.0588396163874398
"105"	"OSPAN"	"055"	0.575714285714287	0.184102283510146
"106"	"OSPAN"	"056"	0.521397849462366	0.110979741569365
"107"	"OSPAN"	"057"	0.516954022988505	0.107657281961997
"108"	"OSPAN"	"058"	0.456648351648352	0.0761742511891603
"109"	"OSPAN"	"059"	0.472033898305087	0.115954303716963
"110"	"OSPAN"	"060"	0.520735294117646	0.0932112880856153
"111"	"OSPAN"	"061"	0.636829268292684	0.134569324837391
"112"	"OSPAN"	"062"	0.643921568627451	0.126216372770803
"113"	"OSPAN"	"063"	0.470757575757575	0.130182615202446
"114"	"OSPAN"	"064"	0.390913242009133	0.0741315886685533
