"Subject"	"task"	"rt"
"299"	"039"	"VT"	1.0034368125
"300"	"040"	"VC"	1.01603028333333
"301"	"040"	"VR"	0.7564369125
"302"	"040"	"VT"	1.25821643636364
"303"	"041"	"VC"	0.8913084
"304"	"041"	"VR"	0.891831654545455
"305"	"041"	"VT"	0.861960178571429
"306"	"042"	"VC"	0.665100516666667
"307"	"042"	"VR"	0.7391249
"308"	"042"	"VT"	0.908145614285714
"309"	"043"	"VC"	0.992135325
"310"	"043"	"VR"	1.02442235833333
"311"	"043"	"VT"	0.788560485714286
"312"	"044"	"VC"	0.9290479
"313"	"044"	"VR"	0.994954314285714
"314"	"044"	"VT"	1.00062439
"315"	"045"	"VC"	1.13795030833333
"316"	"045"	"VR"	1.18325315
"317"	"045"	"VT"	0.816213185714286
"318"	"046"	"VC"	0.78801475
"319"	"046"	"VR"	0.9563855
"320"	"046"	"VT"	0.844369716666667
"321"	"047"	"VC"	1.07392889166667
"322"	"047"	"VR"	0.8743490375
"323"	"047"	"VT"	1.04589434
"324"	"048"	"VC"	0.662982266666667
"325"	"048"	"VR"	0.6317318
"326"	"048"	"VT"	0.641201918181818
"327"	"049"	"VC"	0.9424468
"328"	"049"	"VR"	0.930516055555556
"329"	"049"	"VT"	0.916506083333333
"330"	"050"	"VC"	0.638610128571429
"331"	"050"	"VR"	0.572667
"332"	"050"	"VT"	0.80222822
"333"	"051"	"VC"	0.539334629411765
"334"	"051"	"VR"	0.746152705882353
"335"	"051"	"VT"	0.860344261538462
"336"	"052"	"VC"	0.584183966666667
"337"	"052"	"VR"	0.706164282352941
"338"	"052"	"VT"	0.647554066666667
"339"	"053"	"VC"	0.558225683333333
"340"	"053"	"VR"	0.668496494117647
"341"	"053"	"VT"	0.641241966666667
"342"	"054"	"VC"	0.6201886
"343"	"054"	"VR"	0.778278833333333
"344"	"054"	"VT"	0.9904654
"345"	"055"	"VC"	1.41231748181818
"346"	"055"	"VR"	0.594363758823529
"347"	"055"	"VT"	1.00920544285714
"348"	"056"	"VC"	0.9063017
"349"	"056"	"VR"	1.18324381428571
"350"	"056"	"VT"	1.19683384285714
"351"	"057"	"VC"	0.6285356
"352"	"057"	"VR"	0.737367133333333
"353"	"057"	"VT"	0.737948172222222
"354"	"058"	"VC"	0.6162324
"355"	"058"	"VR"	0.51735558
"356"	"058"	"VT"	0.7460306
"357"	"059"	"VC"	0.715051522222222
"358"	"059"	"VR"	0.62451487
"359"	"059"	"VT"	0.976088689473684
"360"	"060"	"VC"	0.756439661111111
"361"	"060"	"VR"	0.914692983333333
"362"	"060"	"VT"	1.01642826111111
"363"	"061"	"VC"	0.845708921052632
"364"	"061"	"VR"	1.01169259375
"365"	"061"	"VT"	1.04779733157895
"366"	"062"	"VC"	0.921305766666667
"367"	"062"	"VR"	0.65986465
"368"	"062"	"VT"	0.717886127272727
"369"	"063"	"VC"	0.68042291875
"370"	"063"	"VR"	0.90026835
"371"	"063"	"VT"	0.912038092307692
